,0
0,The_Shawshank_Redemption
1,The_Godfather
2,The_Godfather:_Part_II
3,The_Dark_Knight
4,12_Angry_Men
5,Schindler's_List
6,Pulp_Fiction
7,The_Lord_of_the_Rings:_The_Return_of_the_King
8,"Il_buono,_il_brutto,_il_cattivo"
9,Fight_Club
10,The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring
11,Star_Wars:_Episode_V_-_The_Empire_Strikes_Back
12,Forrest_Gump
13,Inception
14,The_Lord_of_the_Rings:_The_Two_Towers
15,One_Flew_Over_the_Cuckoo's_Nest
16,Goodfellas
17,The_Matrix
18,Shichinin_no_samurai
19,Star_Wars
20,Cidade_de_Deus
21,Se7en
22,The_Silence_of_the_Lambs
23,It's_a_Wonderful_Life
24,The_Usual_Suspects
25,La_vita_è_bella
26,Léon
27,Sen_to_Chihiro_no_kamikakushi
28,Saving_Private_Ryan
29,Once_Upon_a_Time_in_the_West
30,American_History_X
31,Interstellar
32,Casablanca
33,Psycho
34,City_Lights
35,Raiders_of_the_Lost_Ark
36,The_Green_Mile
37,The_Intouchables
38,Modern_Times
39,Rear_Window
40,Terminator_2:_Judgment_Day
41,The_Departed
42,The_Pianist
43,Back_to_the_Future
44,Whiplash
45,Gladiator
46,Memento
47,Apocalypse_Now
48,The_Prestige
49,The_Lion_King
50,Alien
51,Dr._Strangelove_or:_How_I_Learned_to_Stop_Worrying_and_Love_the_Bomb
52,Sunset_Blvd.
53,The_Great_Dictator
54,The_Lives_of_Others
55,Nuovo_Cinema_Paradiso
56,Paths_of_Glory
57,Django_Unchained
58,The_Shining
59,Hotaru_no_haka
60,WALL·E
61,The_Dark_Knight_Rises
62,American_Beauty
63,Aliens
64,Mononoke-hime
65,Oldeuboi
66,Once_Upon_a_Time_in_America
67,Citizen_Kane
68,Das_Boot
69,North_by_Northwest
70,Witness_for_the_Prosecution
71,Vertigo
72,Star_Wars:_Episode_VI_-_Return_of_the_Jedi
73,M
74,Reservoir_Dogs
75,Braveheart
76,Amélie
77,Requiem_for_a_Dream
78,A_Clockwork_Orange
79,Taxi_Driver
80,Double_Indemnity
81,Lawrence_of_Arabia
82,To_Kill_a_Mockingbird
83,Toy_Story_3
84,Eternal_Sunshine_of_the_Spotless_Mind
85,Amadeus
86,Full_Metal_Jacket
87,The_Sting
88,2001:_A_Space_Odyssey
89,Ladri_di_biciclette
90,Toy_Story
91,Snatch
92,Singin'_in_the_Rain
93,Inglourious_Basterds
94,The_Kid
95,Monty_Python_and_the_Holy_Grail
96,L.A._Confidential
97,Per_qualche_dollaro_in_più
98,Rashômon
99,The_Apartment
100,Scarface
101,3_Idiots
102,Indiana_Jones_and_the_Last_Crusade
103,Jodaeiye_Nader_az_Simin
104,Metropolis
105,Jagten
106,Good_Will_Hunting
107,All_About_Eve
108,Yôjinbô
109,Batman_Begins
110,The_Treasure_of_the_Sierra_Madre
111,Some_Like_It_Hot
112,Up
113,Unforgiven
114,The_Third_Man
115,Der_Untergang
116,Raging_Bull
117,Bacheha-Ye_aseman
118,Die_Hard
119,The_Great_Escape
120,Heat
121,Chinatown
122,Inside_Out
123,Pan's_Labyrinth
124,Room
125,On_the_Waterfront
126,Tonari_no_Totoro
127,Ikiru
128,Ran
129,The_Gold_Rush
130,The_Bridge_on_the_River_Kwai
131,Mr._Smith_Goes_to_Washington
132,El_secreto_de_sus_ojos
133,Blade_Runner
134,Det_sjunde_inseglet
135,"Lock,_Stock_and_Two_Smoking_Barrels"
136,Hauru_no_ugoku_shiro
137,Casino
138,La_passion_de_Jeanne_d'Arc
139,Judgment_at_Nuremberg
140,Smultronstället
141,The_General
142,The_Elephant_Man
143,A_Beautiful_Mind
144,Sunrise:_A_Song_of_Two_Humans
145,Warrior
146,The_Wolf_of_Wall_Street
147,V_for_Vendetta
148,Incendies
149,Gran_Torino
150,The_Big_Lebowski
151,Tôkyô_monogatari
152,The_Deer_Hunter
153,Dial_M_for_Murder
154,Trainspotting
155,Gone_with_the_Wind
156,Fargo
157,Rebecca
158,Star_Wars:_Episode_VII_-_The_Force_Awakens
159,Cool_Hand_Luke
160,Finding_Nemo
161,The_Sixth_Sense
162,How_to_Train_Your_Dragon
163,The_Thing
164,No_Country_for_Old_Men
165,Into_the_Wild
166,Kill_Bill:_Vol._1
167,Mary_and_Max
168,Gone_Girl
169,Idi_i_smotri
170,It_Happened_One_Night
171,There_Will_Be_Blood
172,Life_of_Brian
173,The_Message
174,Rush
175,Hotel_Rwanda
176,Platoon
177,Le_notti_di_Cabiria
178,Network
179,Le_salaire_de_la_peur
180,Shutter_Island
181,Spotlight
182,The_Maltese_Falcon
183,Butch_Cassidy_and_the_Sundance_Kid
184,Mad_Max:_Fury_Road
185,Stand_by_Me
186,In_the_Name_of_the_Father
187,Les_quatre_cents_coups
188,Relatos_salvajes
189,12_Years_a_Slave
190,Persona
191,The_Grand_Budapest_Hotel
192,Ben-Hur
193,Amores_perros
194,Million_Dollar_Baby
195,The_Princess_Bride
196,Jurassic_Park
197,Hachi:_A_Dog's_Tale
198,Kaze_no_tani_no_Naushika
199,Zootopia
200,Touch_of_Evil
201,The_Grapes_of_Wrath
202,Stalker
203,Salinui_chueok
204,Annie_Hall
205,The_Truman_Show
206,Before_Sunrise
207,The_Bourne_Ultimatum
208,Gandhi
209,Les_diaboliques
210,Rocky
211,Donnie_Darko
212,Harry_Potter_and_the_Deathly_Hallows:_Part_2
213,8½
214,"Monsters,_Inc."
215,The_Wizard_of_Oz
216,The_Terminator
217,Groundhog_Day
218,Twelve_Monkeys
219,Prisoners
220,Jaws
221,The_Best_Years_of_Our_Lives
222,Mou_gaan_dou
223,La_haine
224,Barry_Lyndon
225,Strangers_on_a_Train
226,Catch_Me_If_You_Can
227,Sin_City
228,La_battaglia_di_Algeri
229,Dog_Day_Afternoon
230,Kind_Hearts_and_Coronets
231,Song_of_the_Sea
232,The_Revenant
233,Deadpool
234,Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl
235,The_Help
236,The_Imitation_Game
237,Gangs_of_Wasseypur
238,Yip_Man
239,The_Martian
240,Roman_Holiday
241,Per_un_pugno_di_dollari
242,Tenkû_no_shiro_Rapyuta
243,Guardians_of_the_Galaxy
244,Fanny_och_Alexander
245,The_King's_Speech
246,The_Avengers
247,"Paris,_Texas"
248,Beauty_and_the_Beast
249,Lagaan:_Once_Upon_a_Time_in_India
